I (5296) ADC: RAW       Manual  Cali    Err
I (5296) ADC: 67        53.99   61      -11.49
I (10296) ADC: 248      199.85  224     -10.78
I (15296) ADC: 349      281.25  314     -10.43
I (20296) ADC: 445      358.61  399     -10.12
I (25296) ADC: 614      494.80  543     -8.88
I (30296) ADC: 804      647.91  705     -8.10
I (35296) ADC: 1003     808.28  873     -7.41
I (40296) ADC: 1255     1011.36 1086    -6.87
I (45296) ADC: 1479     1191.87 1276    -6.59
I (50296) ADC: 1683     1356.26 1449    -6.40
I (55296) ADC: 1869     1506.15 1607    -6.28
I (60296) ADC: 2085     1680.22 1791    -6.19
I (65296) ADC: 2277     1834.95 1953    -6.04
I (70296) ADC: 2447     1971.94 2096    -5.92
I (75296) ADC: 2699     2175.02 2302    -5.52
I (80296) ADC: 3102     2499.78 2615    -4.41
I (85296) ADC: 3485     2808.42 2877    -2.38
I (90296) ADC: 4043     3258.10 3158    3.17
I (95296) ADC: 4095     3300.00 3176    3.90
I (100296) ADC: 4095    3300.00 3176    3.90
I (105296) ADC: 4095    3300.00 3176    3.90
